Year,Airport,Gateway,Passengers
2024,PIT,ORD,10790.0
2024,PIT,SEA,6817.0
2024,PIT,SFO,8223.0
2024,RDU,ATL,21572.0
2024,RDU,BOS,28458.0
2024,RDU,DFW,17540.0
2024,RDU,DTW,10111.0
2024,RDU,EWR,20950.0
2024,RDU,IAD,3122.0
2024,RDU,IAH,10221.0
2024,RDU,JFK,16985.0
2024,RDU,LAX,13490.0
2024,RDU,MIA,18477.0
2024,RDU,ORD,19694.0
2024,RDU,SEA,12019.0
2024,RDU,SFO,12746.0
2025,AUS,ATL,11320.0
2025,AUS,BOS,9689.0
2025,AUS,DFW,3244.0
2025,AUS,DTW,5112.0
2025,AUS,EWR,11724.0
2025,AUS,IAD,4838.0
2025,AUS,IAH,1023.0
2025,AUS,JFK,12047.0
2025,AUS,LAX,15902.0
2025,AUS,MIA,6823.0
2025,AUS,ORD,11483.0
2025,AUS,SEA,10332.0
2025,AUS,SFO,12092.0
2025,BNA,ATL,4934.0
2025,BNA,BOS,13059.0
2025,BNA,DFW,7806.0
2025,BNA,DTW,7774.0
2025,BNA,EWR,10449.0
2025,BNA,IAD,3036.0
2025,BNA,IAH,4683.0
2025,BNA,JFK,5891.0
2025,BNA,LAX,11185.0
2025,BNA,MIA,7469.0
2025,BNA,ORD,10711.0
2025,BNA,SEA,7202.0
2025,BNA,SFO,5025.0
2025,CLE,ATL,8878.0
2025,CLE,BOS,5183.0
2025,CLE,DFW,6329.0
2025,CLE,DTW,189.0
2025,CLE,EWR,4556.0
2025,CLE,IAD,1701.0
2025,CLE,IAH,4428.0
2025,CLE,JFK,2279.0
2025,CLE,LAX,5475.0
2025,CLE,MIA,4051.0
2025,CLE,ORD,6262.0
2025,CLE,SEA,2840.0
2025,CLE,SFO,3889.0
2025,CMH,ATL,7398.0
2025,CMH,BOS,4522.0
2025,CMH,DFW,4714.0
2025,CMH,DTW,365.0
2025,CMH,EWR,3337.0
2025,CMH,IAD,1583.0
2025,CMH,IAH,2389.0
2025,CMH,JFK,2425.0
2025,CMH,LAX,4292.0
2025,CMH,MIA,3540.0
2025,CMH,ORD,5401.0
2025,CMH,SEA,3188.0
2025,CMH,SFO,2396.0
2025,CVG,ATL,4587.0
2025,CVG,BOS,4237.0
2025,CVG,DFW,6015.0
2025,CVG,DTW,513.0
2025,CVG,EWR,4165.0
2025,CVG,IAD,1291.0
2025,CVG,IAH,3658.0
2025,CVG,JFK,2859.0
2025,CVG,LAX,3673.0
2025,CVG,MIA,3763.0
2025,CVG,ORD,4086.0
2025,CVG,SEA,3690.0
2025,CVG,SFO,2097.0
2025,DAY,ATL,1420.0
2025,DAY,BOS,249.0
2025,DAY,DFW,1393.0
2025,DAY,DTW,1.0
2025,DAY,EWR,88.0
2025,DAY,IAD,605.0
2025,DAY,IAH,392.0
2025,DAY,JFK,31.0
2025,DAY,LAX,499.0
2025,DAY,MIA,293.0
2025,DAY,ORD,1160.0
2025,DAY,SEA,218.0
2025,DAY,SFO,277.0
2025,IND,ATL,7493.0
2025,IND,BOS,4985.0
2025,IND,DFW,6237.0
2025,IND,DTW,1042.0
2025,IND,EWR,5653.0
2025,IND,IAD,2000.0
2025,IND,IAH,3016.0
2025,IND,JFK,3016.0
2025,IND,LAX,5650.0
2025,IND,MIA,3911.0
2025,IND,ORD,2065.0
2025,IND,SEA,3925.0
2025,IND,SFO,3793.0
2025,PIT,ATL,6698.0
2025,PIT,BOS,7346.0
2025,PIT,DFW,4806.0
2025,PIT,DTW,843.0
2025,PIT,EWR,4845.0
2025,PIT,IAD,766.0
2025,PIT,IAH,3471.0
2025,PIT,JFK,3098.0
2025,PIT,LAX,4182.0
2025,PIT,MIA,3901.0
2025,PIT,ORD,5012.0
2025,PIT,SEA,3041.0
2025,PIT,SFO,3538.0
2025,RDU,ATL,9654.0
2025,RDU,BOS,14147.0
2025,RDU,DFW,8272.0
2025,RDU,DTW,4747.0
2025,RDU,EWR,9951.0
2025,RDU,IAD,1533.0
2025,RDU,IAH,4144.0
2025,RDU,JFK,8567.0
2025,RDU,LAX,6818.0
2025,RDU,MIA,10438.0
2025,RDU,ORD,8353.0
2025,RDU,SEA,5238.0
2025,RDU,SFO,6260.0
